Category,Event,Venue,TicketRequired,PriceRange,Latitude,Longitude,Available From,Available To,URL
Ópera,Estudio de la Ópera de Bellas Artes y Orquesta Juvenil Universitaria Eduardo Mata de la UNAM,Teatro Juárez,Sí,$100-$900,21.0154246622089,-101.252935442332,21:00,23:00,https://festivalcervantino.gob.mx/actividad/1250/breaking-the-waves-de-missy-mazzoli
Música,Felipe Riveros Trío: Sesión Palo Quemado,El Trasnoche,Sí,$250-$360,21.0090669426226,-101.273342634795,23:00,23:59,https://festivalcervantino.gob.mx/actividad/1240/sesion-palo-quemado
Pintura,La restauración del espíritu. Obra gráfica de Eliseo Mijango,Centro de las Artes Guanajuato,No,,20.5675062219715,-101.197830067713,10:00,18:00,https://festivalcervantino.gob.mx/actividad/1451/la-restauracion-del-espiritu-obra-grafica-de-eliseo-mijangos
Pintura,El Bloque: Shakespeare,Museo Iconográfico del Quijote,Sí pero es la entrada del museo y todas las expos juntas,30,21.0144529331442,-101.252067831729,09:30,19:00,https://festivalcervantino.gob.mx/actividad/1463/el-bloque-shakespeare
Exposición Arte,De lo Figurativo a lo Abstracto,Museo Iconográfico del Quijote,Sí pero es la entrada del museo y todas las expos juntas,30,21.0144529331442,-101.252067831729,09:30,19:00,https://festivalcervantino.gob.mx/actividad/1464/de-lo-figurativo-a-lo-abstracto
Mural,Capilla Cervantina de lanza y plum,Museo Iconográfico del Quijote,Sí pero es la entrada del museo y todas las expos juntas,30,21.0144529331442,-101.252067831729,09:30,19:00,https://festivalcervantino.gob.mx/actividad/1465/capilla-cervantina-de-lanza-y-pluma
Exposición Arte,Objetos de indagación. Flor Bosco,Teatro Manuel Doblado,Sí pero es la entrada del museo y todas las expos juntas,10,21.1229811620494,-101.680080763559,11:00,18:00,https://festivalcervantino.gob.mx/actividad/1467/objetos-de-indagacion-flor-bosco
Exposición Naturaleza,"Daisies, Emilies and Lilies. Azucena Germán",Teatro María Grever,No,,21.1239118268577,-101.682842652262,11:00,18:00,https://festivalcervantino.gob.mx/actividad/1468/daisies-emilies-and-lilies-azucena-german
Exposición de Institución,Gráfica bajo La Ceiba. 20 años de arte comunitario y sustentable,Museo de la Universidad de Guanajuato,Sí pero es la entrada del museo y todas las expos juntas,30,21.0158344355256,-101.252120662653,10:00,18:00,https://festivalcervantino.gob.mx/actividad/1455/grafica-bajo-la-ceiba-20-anos-de-arte-comunitario-y-sustentable
Exposición Arte,Neo Tamemes. Chavis Mármol,Casa de la Cultura Diego Rivera,No,,21.1232396738515,-101.683018090712,11:00,18:00,https://festivalcervantino.gob.mx/actividad/1470/neo-tamemes-chavis-marmol
Exposición Textiles,Veracruz: Mapas de hilo y color,Teatro Cervantes,No,,21.0133239673087,-101.250481870207,08:00,21:00,https://festivalcervantino.gob.mx/actividad/1494/veracruz-mapas-de-hilo-y-color
Pintura,Tres perspectivas desde México José García Ocejo-Chuck Plosky-Mauricio Benítez,Foro Cultural 81,No,,21.0185805991054,-101.256463376504,10:00,17:00,https://festivalcervantino.gob.mx/actividad/1495/tres-perspectivas-desde-mexico-jose-garcia-ocejo-chuck-plosky-mauricio-benitez
Pintura,Al sur del viento,Museo Iconográfico del Quijote,Sí pero es la entrada del museo y todas las expos juntas,30,21.0144529331442,-101.252067831729,09:30,19:00,https://festivalcervantino.gob.mx/actividad/1496/al-sur-del-viento
Reflexión sobre humanos e IA,Mucho ruido y pocas nueces,Museo Iconográfico del Quijote,Sí pero es la entrada del museo y todas las expos juntas,30,21.0144529331442,-101.252067831729,09:30,19:00,https://festivalcervantino.gob.mx/actividad/1497/much-ado-about-nothing-br-mucho-ruido-y-pocas-nueces
Exposición Foto,60a Edición de la Fotografía de Vida Silvestre del Año,Museo Iconográfico del Quijote,Sí pero es la entrada del museo y todas las expos juntas,30,21.0144529331442,-101.252067831729,09:30,19:00,https://festivalcervantino.gob.mx/actividad/1497/much-ado-about-nothing-br-mucho-ruido-y-pocas-nueces
